nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.17536540441368845	0.009722671508789062	0.010052063465118409	0.007596175670623779	0.007688684463500977
3	0.21965236003609415	0.012127926349639892	0.011750776767730713	0.00982191801071167	0.00908191204071045
4	0.28608888745600747	0.013388710021972656	0.014129364490509033	0.012417778968811036	0.011217544078826905
5	0.2945779172663989	0.015587210655212402	0.016625661849975586	0.01714874744415283	0.014483907222747804
7	0.34294172651852534	0.021503210067749023	0.02129628658294678	0.022198259830474854	0.018737127780914308
8	0.31701228177001356	0.024082450866699218	0.023133997917175294	0.02618774175643921	0.022039496898651124
10	0.39770991751797746	0.03020390272140503	0.029966676235198976	0.03456767320632934	0.029744551181793213
12	0.44672316712025534	0.04119872570037842	0.0394761323928833	0.04490168809890747	0.03579960823059082
16	0.5035174994976569	0.05701395750045776	0.05183065414428711	0.05990198850631714	0.04792402744293213
20	0.540733277578477	0.07814883470535278	0.06567069053649903	0.0756108283996582	0.05957527160644531
30	0.611793006423122	0.13390701293945312	0.10834227800369263	0.11601288557052612	0.09335716724395753
40	0.6809782386083989	0.1799563241004944	0.1564257001876831	0.15281568050384522	0.12527622461318969
50	0.6837913810991729	0.22038084268569946	0.18572750568389892	0.18891906023025512	0.1568324637413025
60	0.7063130641606264	0.2569779920578003	0.211323778629303	0.2149546456336975	0.17466965913772584
65	0.7170968682944678	0.281835241317749	0.2385260820388794	0.2338438820838928	0.18097134351730346
