nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.17560664611517837	2.1692910433055372	2.618447248364646	3.314996203916046	3.1022912784185697
3	0.2375394865995676	3.534611488130264	3.3735730084985174	5.571533556591394	4.981172438984651
4	0.261729092907135	4.742337739251693	4.644119045484791	7.0941882944103165	6.105087790775401
5	0.2835917862825669	5.5430729991630825	5.148850592906001	9.197831454913329	7.9300585237652115
7	0.32488465652100557	8.848179636721309	8.276284592957808	14.474992703682743	11.28933300504963
8	0.4167253037192246	9.832242886852537	8.923200509257688	15.723811671422947	12.866145033982264
10	0.41538419809874405	13.92084265486059	12.461605153598605	19.854218420910737	16.08456554834201
12	0.428598865791688	16.446111464943396	16.554168264784963	25.178340242592856	18.495074324451792
16	0.47941558245111227	26.207555716219648	21.60543304234221	35.299991693392734	27.439612495116577
20	0.531028934456871	33.29557763387473	28.248376456007513	45.73187603537168	34.33532052209923
30	0.5849276977152578	60.64222436874145	48.518790517187874	69.8756244854454	51.91742821443206
40	0.6411305361686481	87.37951713167902	67.4701701285027	94.5513889170913	73.79713236244267
50	0.6757948327963363	114.93010445141346	87.99739280587451	119.51803137006942	93.21148720362646
60	0.7431376310080219	139.65236279524677	108.96377237486357	143.96420500930398	111.26266817473088
65	0.7248749968015836	152.8971022007303	118.05490075481356	157.4190859106905	121.94922933233738
