nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.13940709951537258	1.6970718096093893	1.6970718096093893	2.8092151209764777	2.7113937666211076
3	0.19154633606148871	3.040298128472193	3.040298128472193	4.312177221918874	3.624877184290766
4	0.23310808565209903	4.3105345096150565	4.27583134450648	6.494877658413588	5.181720463083825
5	0.2709723550835691	5.364312454793459	5.156805509930356	8.56711156978474	6.54472217772776
7	0.3235134101066237	7.355934183292351	7.1577284265905625	13.096362277031503	9.400153567371088
8	0.34245754663047684	8.112523884846173	7.766461176394729	15.117146605337124	10.30807268203498
9	0.38136938629071815	9.432167736640125	8.941880256485897	17.38480866555857	11.611596696393187
10	0.3927485424330127	10.286802430901934	9.282085157787089	17.92880903414847	12.219522533917186
12	0.43131819383035	14.181738496333999	12.654847650202266	23.229603083992252	15.830325445148002
20	0.5148687239754617	29.2526385191336	23.11152884037501	44.39280546543353	28.102566064764734
25	0.5586703008906043	40.745874671089474	29.37745844624143	54.94957302824894	35.49349523412352
30	0.5873840663729929	54.30609506942329	37.86039087012468	66.91764347541101	44.540059859159655
35	0.6431224163851544	68.2836898261384	46.252858904305256	78.78708102498938	50.87169357218281
40	0.670474261900862	78.77122617065334	54.04891262877656	90.78052852594847	59.35481495747941
45	0.7073586820205685	96.86493642398482	64.51893946736779	104.39625569624121	68.64800262967799
60	0.7323292365781245	135.62944443572655	90.39147209472333	143.01186147736647	93.72015155904688
75	0.785803441515999	171.03909417405953	113.33086806068553	177.52206041605265	116.32709348520142
95	0.8378859590542508	225.03424600633053	146.84180874753534	230.10592240055743	150.219645516351
